Project Name (Link),Valuation,GC: Company Name,County,Target Start Date,Target Completion Date,Primary Project Type,Owner: Company Name,Owner: Company Phone,Work Type,Address,City,GC: Company Phone,GC: Company Address,GC: Company City,GC: Contact Name,GC: Company County,GC: Company Email,Delivery System,Specs Available,GC: Company Website,Tags (Private),Tags (Shared),User Notes,Comments
Alston Park Restroom,$ 534461,"Dutch Contracting, Inc.",SONOMA,2025-04-01,,Miscellaneous Recreational,City of Napa,7072579529.0,"Alterations, New Project",2037 Dry Creek Rd,HEALDSBURG,9166064825.0,2201 Francisco Dr Ste 140 Pmb 136,El Dorado Hills,,EL DORADO,matt@dutchcoinc.com,Design-Bid-Build,N,http://www.dutchcoinc.com,,,,
Cupertino High School Robotics Center,$ 15000000,Landmark Construction,SANTA CLARA,2025-05-01,2026-01-01,Middle/Senior High School,Fremont Union High School District,4085222200.0,New Project,10100 Finch Ave,CUPERTINO,9166631953.0,4312 Anthony Ct Ste B,Rocklin,,PLACER,frontdesk@landmarkconst.net,Design-Bid-Build,N,https://landmarkconst.net/,,,,
The Refuge Supportive Housing,$ 15000000 - $ 24999999,,ALAMEDA,2022-09-01,2025-11-01,Apartments/Condominiums 4  Stories,Hybridge Capital Management,3107734938.0,New Project,4400 Martin Luther King Jr Way,OAKLAND,,,,,,,,N,,,,,
Noor Avenue Residential Complex,$ 50000000 - $ 75000000,"Deacon Construction, LLC",SAN MATEO,2025-04-01,,Apartments/Condominiums 4  Stories,"VillaSports LLC/Syufi Properties, LLC",4154488300.0,New Project,410 Noor Ave,SOUTH SAN FRANCISCO,9169690900.0,7745 Greenback Ln,Citrus Heights,Alex Robles,SACRAMENTO,alex.robles@deacon.com,,N,https://deacon.com/,,,,
Travis USD EV Chargers Infrastructure Installation,$ 644311,,SOLANO,2025-04-01,,Vehicle Sales/Service,Travis Unified School District,7074374604.0,New Project,2751 De Ronde Dr,FAIRFIELD,,,,,,,Design-Bid-Build,N,,,,,
Tracy - International Parkway Bridge Replace & Expan REBID,$ 14125000,O.C. Jones & Sons,SAN JOAQUIN,2025-04-01,2027-03-01,Bridge,City of Tracy,2098316463.0,"Alterations, New Project",International Pkwy,TRACY,5105263424.0,1520 4th St,Berkeley,,ALAMEDA,grsouder65@gmail.com,Design-Bid-Build,N,http://www.ocjones.com,,,,
Mission Bay Pump Station 3,$ 1000000 - $ 2999999,,SAN FRANCISCO,2025-05-01,,Storm Sewer,,,New Project,,SAN FRANCISCO,,,,,,,Design/Build,N,,FOLLOW UP,,,
New Mixed Use Building,$ 6727766,,SAN MATEO,2025-03-01,,Office,Are San Francisco No 46 Llc,6506767621.0,New Project,249 E Grand Ave Lot 279 And 281,SOUTH SAN FRANCISCO,,,,,,,,N,,,,,
251 Llewellyn Ave Residential Development,$ 25000000 - $ 49999999,Pulte Homes Corporation,SANTA CLARA,2025-03-01,2026-07-01,Apartments/Condominiums 1-3 Stories,,,New Project,251 Llewellyn Ave,CAMPBELL,9252493248.0,4511 Willow Rd Ste 8,Pleasanton,,ALAMEDA,,Design/Build,N,http://www.pultegroupinc.com/,FOLLOW UP,,,
Oak Gardens Veteran Apartment Housing,$ 35000000,Guzman Construction,SAN MATEO,2025-03-01,2026-05-01,Apartments/Condominiums 1-3 Stories,MidPen Housing,6503562900.0,New Project,795 Willow Rd,MENLO PARK,4158212522.0,1501 Mariposa St Ste 316,San Francisco,,SAN FRANCISCO,bids@guzmangc.com,,N,https://www.guzmangc.com/,,,,
New Apartment Building,$ 2570984,,SANTA CLARA,2025-03-01,,Apartments/Condominiums 4  Stories,Tri Pointe Homes,9494788600.0,New Project,5941 Virtual Ct Lot 4,SAN JOSE,,,,,,,,N,,,,,
New Storage Building,$ 4364881,Arco Murray National Construction,SANTA CLARA,2025-03-01,,Warehouse,,,New Project,2300 Qume Dr Lot 2,SAN JOSE,6502881305.0,1300 S El Camino Real Ste 305,San Mateo,,SAN MATEO,,,N,https://www.arcomurray.com/contact/,,,,
Arco's Self Storage,$ 1000000 - $ 2999999,"Paradigm Construction, Inc.",SAN JOAQUIN,2025-05-01,2026-07-01,Warehouse,Arco's Self Storage,2092392208.0,New Project,1654 N Main St,MANTECA,2092228920.0,1165 Scenic Dr Ste C2,Modesto,,STANISLAUS,shawn@paradigm-cm.com,,N,,,,,
Stevens Creek Kia,$ 3000000 - $ 4999999,,SANTA CLARA,2025-03-01,,Vehicle Sales/Service,CDR&J Sunnyvale,,New Project,3566 Stevens Creek Blvd,SAN JOSE,,,,,,,,N,,,,,
Runway 10R -28L Pavement Rehabilitation,$ 17777777,DeSilva Gates Construction LLC,ALAMEDA,2025-05-01,2025-10-01,Paving,Port of Oakland,5106271439.0,"Alterations, New Project",1 Airport Dr,OAKLAND,9258299220.0,11555 Dublin Blvd,Dublin,,ALAMEDA,mgates@desilvagates.com,Design-Bid-Build,Y,https://desilvagates.com/,,,,
Colonial Heights & Lincoln Village Water Main Replace Ph 1A,$ 4665384,"Lafleur Engineering, Inc.",SAN JOAQUIN,2025-02-01,,Water Line,County of San Joaquin,2094683357.0,New Project,Various Locations,STOCKTON,8044048681.0,1588 Bedell Ct Unit B,Roseville,,PLACER,,Design-Bid-Build,N,,REACH OUT,,,
New Commercial Building,$ 2500000,Buzz Oates,SAN JOAQUIN,2025-01-01,,Office,,,New Project,3021 Boeing Way,STOCKTON,9163793800.0,555 Capitol Mall Ste 900,Sacramento,,SACRAMENTO,bids@buzzoates.com,,N,https://www.buzzoates.com/,,,,
New Darioush Winery Building,$ 5744600,Facility Development Corp,NAPA,2025-01-01,,Manufacturing Building,,,New Project,4240 Silverado Trail,NAPA,7075231722.0,5510 Skylane Blvd Ste 201,Santa Rosa,,SONOMA,info@fdc-corp.com,,N,,,,,
La Bahia Hotel,$ 15000000 - $ 24999999,Granite Construction,SANTA CRUZ,2022-03-01,2025-09-01,Hotel/Motel,Santa Cruz Seaside Company,8314235590.0,New Project,215 Beach St,SANTA CRUZ,8314219890.0,719 Swift St Ste 58,Santa Cruz,,SANTA CRUZ,,Design-Bid-Build,N,,FOLLOW UP,,,
New Convenience Store,$ 1100000,,SAN JOAQUIN,2025-01-01,,Supermarket/Convenience Store,,,New Project,3659 Arch Rd,STOCKTON,,,,,,,,N,,,,,
Archway Recovery Services,$ 5000000 - $ 9999999,"Mark Scott Construction, Inc",SOLANO,2025-04-01,,Clinic/Medical Office,Archway Recovery Services Inc,7073999190.0,New Project,2301 Union Ave,FAIRFIELD,9259440502.0,2835 Contra Costa Blvd,Pleasant Hill,,CONTRA COSTA,mscott@msconstruction.com,,N,http://www.msconstruction.com,,,,
Emergency Interim Housing VTA Cerone Bus Yard,$ 19472937,W E Lyons Construction Company,SANTA CLARA,2025-01-01,,Dormitory,City of San Jose,4085353500.0,New Project,Zanker Rd Holger Way,SAN JOSE,8004935966.0,50 Hegenberger Loop,Oakland,,ALAMEDA,greg@welyons.com,Design-Bid-Build,N,http://www.welyons.com,,,,
The Canopy Apartments,$ 25000000 - $ 49999999,,SONOMA,2025-02-01,2025-07-01,Apartments/Condominiums 4  Stories,,,New Project,1009 Gravenstein Hwy N,SEBASTOPOL,,,,,,,Design/Build,N,,FOLLOW UP,,,
Qume and Commerce Warehouses,$ 50000000 - $ 75000000,Arco Murray National Construction,SANTA CLARA,2025-04-01,,Warehouse,Bridge Development Partners,2134252309.0,New Project,2150 Commerce Dr,SAN JOSE,6502881305.0,1300 S El Camino Real Ste 305,San Mateo,,SAN MATEO,,,N,https://www.arcomurray.com/contact/,REACH OUT,,,
RWCF South Bioscrubber Repairs,$ 646927,"Tnt Industrial Contractors, Inc",SAN JOAQUIN,2025-03-01,,Sewage Treatment Plant,"Stockton, City of",2099378753.0,New Project,2500 Navy Dr,STOCKTON,7756665298.0,634 RYLAND ST,RENO,,WASHOE,,,N,,,,,
The Vicinity Condominiums (Blue Oak),$ 5000000 - $ 9999999,Diamond Construction,CONTRA COSTA,2024-04-01,2025-07-01,Apartments/Condominiums 1-3 Stories,Griggs Group,9252994870.0,New Project,950 Hough Ave,LAFAYETTE,9259342711.0,PO BOX 447,LAFAYETTE,,CONTRA COSTA,,Design-Bid-Build,N,https://diamondconstructioninc.com/index,FOLLOW UP,,,
Via Arriba Full Trash Capture Device Installation,$ 2572781,Marinship Development Interest Llc,ALAMEDA,2025-05-01,,Storm Sewer,Alameda County,5106705268.0,"Alterations, New Project",Via Arriba,SAN LORENZO,4157163965.0,2100 Embarcadero Ste 205,Oakland,,ALAMEDA,,Design-Bid-Build,N,,,,,
Alameda Co - Somerset Avenue Improvements,$ 9202822,"Sposeto Engineering, Inc.",ALAMEDA,2025-05-01,,Paving,Alameda County,5102089770.0,"Alterations, New Project",Somerset Ave,CASTRO VALLEY,9254434200.0,4558 Contractors Pl,Livermore,Mr. Vinh Truong,ALAMEDA,vinht@sposetoengineering.com,Design-Bid-Build,N,http://www.sposetoengineering.com/,,,,
Affordable Family Mixed-Use Development,$ 126700000,Marinship Development Interest LLC,SAN FRANCISCO,2025-04-01,2027-03-01,Apartments/Condominiums 4  Stories,MEDA - Mission Economic Dev Agency,4152823334.0,New Project,1515 S Van Ness Ave,SAN FRANCISCO,4152825160.0,1485 Bay Shore Blvd Ste 200,San Francisco,,SAN FRANCISCO,brooke@marinship.com,Design-Bid-Build,N,http://www.marinship.com,,,,
Concord - Residential Pavement Maintenance Phase E,$ 7563000,"Bay Cities Paving & Grading, Inc.",CONTRA COSTA,2025-05-01,,Paving,City of Concord - City Clerk/Purchasing,9256712489.0,"Alterations, New Project",Various Locations,CONCORD,9256876666.0,1450 Civic Ct Bldg B,Concord,,CONTRA COSTA,estimating@baycities.us,Design-Bid-Build,N,https://www.baycities.us,,,,
Wohler Rd Bridge Over the Russian River Earthquake Retrofit,$ 18000000,Ghilotti Construction Co.,SONOMA,2024-04-01,2025-10-01,Bridge,County of Sonoma Transportation/PW Dept,7075652231.0,New Project,9901-9925 Wohler Rd,HEALDSBURG,7075851221.0,246 Ghillotti Ave,Santa Rosa,,SONOMA,annette@ghilotti.com,Design-Bid-Build,N,http://www.ghilotti.com,,,,
Lammers Road Water Main,$ 5699094,"ARB, Inc.",SAN JOAQUIN,2025-02-01,2026-03-01,Water Line,City of Tracy,2098316378.0,New Project,S Lammers Rd,TRACY,9495955526.0,26000 Commercentre Dr,Lake Forest,,ORANGE,sbarry@prim.com,Design-Bid-Build,Y,https://www.prim.com/,FOLLOW UP,,,
Sewer Line Replacement Phase 8,$ 5759460,"California Trenchless, Inc.",ALAMEDA,2025-05-01,,Sanitary Sewer,Oro Loma Sanitary District,5102764700.0,"Alterations, New Project",,SAN LORENZO,5107825335.0,2315 Dunn Rd,Hayward,,ALAMEDA,mjardin@californiatrenchless.com,Design-Bid-Build,Y,http://www.californiatrenchless.com/,FOLLOW UP,,,
CA/DOT: Install Trash Capture Housing Devices,$ 4950981,"Bay Cities Paving & Grading, Inc.",CONTRA COSTA,2025-04-01,,Storm Sewer,State of California Department of Transportation,9166542852.0,"Alterations, New Project",various locations,Martinez,9256876666.0,1450 Civic Ct Bldg B,Concord,,CONTRA COSTA,estimating@baycities.us,Design-Bid-Build,N,https://www.baycities.us,,,,
Stockton USD ELOP Relocatable Classrooms - Group C,$ 500000 - $ 749999,,SAN JOAQUIN,2025-06-01,,Primary School,Stockton Unified School District,2099337045.0,New Project,1101 Lever Blvd various Locations,Stockton,,,,,,,Design-Bid-Build,Y,,,,,
San Joaquin County Micke Grove Septic System Replacement,$ 894700,,SAN JOAQUIN,2025-05-01,,Sanitary Sewer,San Joaquin Co. Public Works,2094683248.0,"Alterations, New Project",11793 N. Micke Grove Rd,Lodi,,,,,,,Design-Bid-Build,N,,,,,
Larson Elementary School Portable Classrooms,$ 504000,Frontline General Engineering Construction,SAN JOAQUIN,2025-05-01,2025-07-01,Primary School,Lodi Unified School District,2093317223.0,"Alterations, New Project",2375 Giannoni Way,LODI,5109540739.0,16440 Ashland Ave,San Lorenzo,,ALAMEDA,jp@frontlinegeconstruction.com,Design-Bid-Build,Y,https://www.frontlinegeconstruction.com/,,,,
Henry & Fremont Peak State Park - Accessibility Improvements,$ 939828,,SANTA CLARA,2025-05-01,,Park/Playground,California Dept of Parks and Recreation,9164458843.0,"Alterations, New Project",9000 E. Dunne Avenue 10700 San Juan Canyon Rd,Morgan Hill,,,,,,,Design-Bid-Build,N,,,,,
Block 9 Sunnydale HOPE SF Multi Family,$ 25000000 - $ 49999999,Guzman Construction,SAN FRANCISCO,2025-02-01,,Apartments/Condominiums 4  Stories,Related Companies of California,4156779000.0,New Project,1652 Sunnydale Ave,SAN FRANCISCO,4158212522.0,1501 Mariposa St Ste 316,San Francisco,,SAN FRANCISCO,bids@guzmangc.com,Design-Bid-Build,N,https://www.guzmangc.com/,FOLLOW UP,,,
Spot Sewer Replacement No. 47 IQC IQC,$ 11378107,,SAN FRANCISCO,2025-05-01,,Sanitary Sewer,San Francisco Public Utilities Commission,4155540631.0,New Project,,San Francisco,,,,,,,Design-Bid-Build,Y,,,,,
CA/DOT: Route 4 Slab Replacement,$ 3330224,"FBD Vanguard Construction, Inc.",CONTRA COSTA,2025-05-01,,Site Development,State of California Department of Transportation,9166542852.0,"Alterations, New Project",Route 4,ISLETON,9252451300.0,550 Greenville Rd,Livermore,,ALAMEDA,website@vc-inc.net,Design-Bid-Build,N,http://vc-inc.net/,,,,
Fiesta Gardens North K-8 School,$ 26050000,Midstate Construction Corp.,SAN MATEO,2025-03-01,2026-11-01,Pre-School,San Mateo-Foster City School District,6503127499.0,New Project,1001 Bermuda Dr,SAN MATEO,7077623200.0,1180 Holm Rd,Petaluma,,SONOMA,bids@midstateconstruction.com,Design-Bid-Build,Y,https://www.midstateconstruction.com/,,,,
House,$ 565468,,SAN JOAQUIN,,,Sale/Spec Homes,Lennar Home,,New Project,7016 Breezy Cove Wy Lot # Lot 19,Stockton,,,,,,,,,,,,,
House,$ 565468,,SAN JOAQUIN,,,Sale/Spec Homes,Lennar Home,,New Project,7021 Breezy Cove Wy Lot # Lot 68,Stockton,,,,,,,,,,,,,
House,$ 970000,,MARIN,,,Sale/Spec Homes,J G Lino Const Inc,,New Project,560 Pierce Point Rd Lot # Lot 560A,Inverness,,,,,,,,,,,,,
House,$ 510411,,SAN JOAQUIN,,,Sale/Spec Homes,Lennar Home,,New Project,7028 Breezy Cove Wy Lot # Lot 17,Stockton,,,,,,,,,,,,,
House,$ 510411,,SAN JOAQUIN,,,Sale/Spec Homes,Lennar Home,,New Project,10800 Coral Reef Ln Lot # Lot 20,Stockton,,,,,,,,,,,,,
House,$ 576515,,SAN JOAQUIN,,,Sale/Spec Homes,Lennar Home,,New Project,10806 Coral Reef Ln,Stockton,,,,,,,,,,,,,
House,$ 576515,,SAN JOAQUIN,,,Sale/Spec Homes,Lennar Home,,New Project,7015 Breezy Cove Wy Lot # Lot 69,Stockton,,,,,,,,,,,,,
Low Impact Development at Municipal Services Center REBID,$ 567912,"Corcus Construction, Inc.",SONOMA,2025-05-01,2025-07-01,Warehouse,City of Santa Rosa,7075433864.0,New Project,,SANTA ROSA,4158954293.0,2645 Franklin St Apt 6,San Francisco,Noel Gallagher,SAN FRANCISCO,noel@mexeire.com,Design-Bid-Build,N,,,,,
CA/DOT: Arroyo Seco Bridge Deck and Polyester Construction,$ 3378400,"Gordon N. Ball, Inc",SONOMA,2025-03-01,,Bridge,State of California Department of Transportation,9166542852.0,"Alterations, New Project",Yellow Creek Bridge And At Arroyo Seco Bridge,SONOMA,9258385675.0,1777 Oakland Blvd Ste 300,Walnut Creek,,CONTRA COSTA,,Design-Bid-Build,N,http://www.ballconco.com,,,,
Lathrop Electric Vehicle Charging Station Improvements REBID,$ 654500,Panelized Structures/Post Properties LLC,SAN JOAQUIN,2025-06-01,,Vehicle Sales/Service,City of Lathrop,2099417498.0,New Project,15707 5th St,LATHROP,2093438600.0,5731 Stoddard Rd,Modesto,,STANISLAUS,,Design-Bid-Build,N,,,,,
Central Park Restrooms Replacement Phase I,$ 800000,"Rsg, Inc",ALAMEDA,2025-05-01,,Miscellaneous Recreational,City of Fremont - Purchasing Services,5104944750.0,New Project,40000 Paseo Padre Pkwy,FREMONT,,170 Eucalyptus Ave,Vista,,SAN DIEGO,rfp@webrsg.com,Design-Bid-Build,Y,,,,,
Mokelumne Aqueduct No. 2 Relining Phase 2,$ 9209600,Sierra Mountain Construction Inc.,SAN JOAQUIN,2025-06-01,,Sanitary Sewer,East Bay Municipal Utility District,5102870454.0,"Alterations, New Project",,,2099281900.0,19500 Nugget Blvd,Sonora,Kara Duarte,TUOLUMNE,kduarte@sierramtn.net,Design-Bid-Build,Y,,,,,
West Texas Street Complete Streets Project,$ 10084965,"Ghilotti Bros., Inc.",SOLANO,2025-05-01,,Paving,City of Fairfield,7074287784.0,"Alterations, New Project",W Texas St Various Locations,FAIRFIELD,4154547011.0,525 Jacoby St,San Rafael,,MARIN,sarahk@gbi1914.com,Design-Bid-Build,N,http://www.ghilottibros.com,,,,
Child Dev Ctr New Modular Building at Canada College REBID,$ 6180050,"Global Modular, Inc.",SAN MATEO,2025-05-01,2026-02-01,Miscellaneous Education Building,San Mateo County Community College District,6505746512.0,New Project,4200 Farm Hill Blvd,REDWOOD CITY,8663063700.0,1120 Commerce Ave # 25,Atwater,Adam Debard,MERCED,adebard@gdvi.net,Design-Bid-Build,Y,https://gdvi.net,,,,
SMP 40 Oaks Business Park,$ 50000000 - $ 75000000,"Millie & Severson , Inc.",ALAMEDA,2025-04-01,2026-07-01,Warehouse,,,New Project,711 Challenger St,LIVERMORE,5624933611.0,3601 Serpentine Dr,Los Alamitos,,ORANGE,bids@mandsinc.com,,N,http://www.mandsinc.com,,,,
RFP/CM: Oak Hill Apartments,$ 100000000,,MARIN,2025-06-01,,Apartments/Condominiums 4  Stories,Eden Housing Inc,5105821460.0,New Project,Sir Francis Drake Blvd & Drakes Cove Rd,SAN QUENTIN,,,,,,,Construction Management at Risk,N,,,,,
RFPQ/LLB: Mary Collins New Classrooms LEASE/LEASE BACK,$ 9000000,,SONOMA,,,Primary School,Petaluma City Schools,7077784804.0,New Project,1001 Cherry St,PETALUMA,,,,,,,Design-Bid-Build,N,,,,,
2025 Street Resurfacing,$ 2538441,"A. Teichert &Amp; Son, Inc.",SAN MATEO,2025-05-01,2025-08-01,Paving,City of Menlo Park,6503306782.0,"Alterations, New Project",Various locations,WEST MENLO PARK,9256215700.0,5200 Franklin Dr Ste 115,Pleasanton,Jason Theriault,ALAMEDA,estimating@teichert.com,Design-Bid-Build,N,,,,,
New Public Restroom at Ohlone Park,$ 767198,"Azul Works, Inc.",ALAMEDA,2025-06-01,2025-09-01,Miscellaneous Recreational,City of Berkeley,5109816700.0,New Project,Milvia St,BERKELEY,4155581507.0,1400 Egbert Ave,San Francisco,Sandra Rocio Hernandez,SAN FRANCISCO,rocio@azulworks.com,Design-Bid-Build,Y,https://www.azulworks.com/,,,,
Yard Piping Improvements Phase 3,$ 19490000,"Michels Trenchless, Inc.",SANTA CLARA,2025-06-01,,Water Line,City of San Jose,4085353500.0,"Alterations, New Project",700 Los Esteros Rd,SAN JOSE,9209244300.0,817 Main St,Brownsville,,DODGE,michelscivil@michels.us,Design-Bid-Build,Y,,REACH OUT,,,
House,$ 616200,,MARIN,,,Sale/Spec Homes,Haven Const Inc,,New Project,15 Erin Dr Lot # Lot 4,San Rafael,,,,,,,,,,,,,
Scotts Valley City - 2025/2026 Annual Pavement Rehab IQC,$ 1000000 - $ 2999999,,SANTA CRUZ,,,Paving,City of Scotts Valley,8314385854.0,"Alterations, New Project",Various Locations,SCOTTS VALLEY,,,,,,,Design-Bid-Build,N,,,,,
House,$ 616292,,MARIN,,,Sale/Spec Homes,Haven Const Inc,,New Project,31 Erin Dr Lot # Lot 8,San Rafael,,,,,,,,,,,,,
House,$ 615860,,MARIN,,,Sale/Spec Homes,Haven Const Inc,,New Project,23 Erin Dr Lot # Lot 6,San Rafael,,,,,,,,,,,,,
RFQ/DB: Sidestream Treatment and UV Rehabilitation Project,$ 10000000 - $ 14999999,,SAN JOAQUIN,,,Sewage Treatment Plant,City of Manteca Public Works Department,2094568400.0,New Project,2450 W Yosemite Ave,MANTECA,,,,,,,Design/Build,Y,,,,,
Chick-Fil-A with Drive Thru,$ 750000 - $ 999999,,SANTA CLARA,2024-08-01,,Food/Beverage Service,"Chick-fil-A, Inc.",4695074413.0,New Project,18599 Sutter Blvd,MORGAN HILL,,,,,,,,N,,,,,
Casa Grande High School Bleachers and Press Box,$ 2000000,"GMH Builders, Inc.",SONOMA,2025-06-01,,Stadium,Petaluma City Schools,7077784804.0,"Alterations, New Project",365 Casa Grande Road,Penngrove,7077575050.0,Po Box 1773,Sonoma,Dalia Nieto,SONOMA,dalia@gmhbuild.com,Design-Bid-Build,Y,http://www.gmhbuild.com/,,,,
House,$ 1090868,,SANTA CLARA,,,Sale/Spec Homes,An Ky Const Inc,,New Project,1008 Bryant Ave,Mountain View,,,,,,,,,,,,,
3240 Hannah Residential Building,$ 2346653,,ALAMEDA,2025-03-01,,Apartments/Condominiums 1-3 Stories,M SQUARED DEVELOPMENT LLC,,New Project,3240 Hannah St,OAKLAND,,,,,,,,N,,FOLLOW UP,,,
Fy24-25 Downtown Surface Seal and Pavement Rehab,$ 4633794,MCK Services,CONTRA COSTA,2025-06-01,2025-12-01,Paving,City of Martinez,9253723512.0,"Alterations, New Project",,MARTINEZ,9259579200.0,865 Howe Rd,Martinez,,CONTRA COSTA,njackson@mckpaving.com,Design-Bid-Build,Y,https://www.mckpaving.com/,,,,
North Bay Children's Center Expansion,$ 12500000,Devcon Construction Inc,MARIN,2022-10-01,,Miscellaneous Education Building,,,New Project,932 C St,NOVATO,8314624333.0,21532 E Cliff Dr,Santa Cruz,,SANTA CRUZ,,Design-Bid-Build,N,https://www.devcon-const.com,,,,
Fremont - 2025 Cape and Slurry Seal,$ 4756119,"American Pavement Systems, Inc.",ALAMEDA,2025-06-01,,Paving,City of Fremont - Purchasing Services,5104944610.0,"Alterations, New Project",Various Locations,FREMONT,2095222277.0,1012 11th St Ste 1000,Modesto,David Pimley,STANISLAUS,dpimley@americanpavementsystems.com,Design-Bid-Build,Y,http://www.americanpavementsystems.com/,,,,
Atlantic Aviation Terminal and Hanger,$ 15000000 - $ 24999999,Centrex Construction,NAPA,2025-02-01,2026-11-01,Aircraft Sales/Service,Atlantic Aviation Corp,9724474200.0,New Project,2100 Airport Rd,NAPA,5036840443.0,8250 SW Hunziker Rd Ste A,Portland,John Ruppert,WASHINGTON,jruppert@centrex.cc,,N,http://www.centrexconstruction.net/,FOLLOW UP,,,
RFQ/DB: Irvington HS Buildings Replacement,$ 90000000 - $ 95000000,,ALAMEDA,2026-07-01,,Middle/Senior High School,Fremont Unified School District,5106572350.0,New Project,41800 Blacow Rd,FREMONT,,,,,,,Design/Build,N,,,,,
Santa Clara Co Job Order Contract - JOC 79,$ 50000 - $ 6204503,,SANTA CLARA,2025-07-01,,Office,County of Santa Clara,4088854409.0,"Alterations, New Project",2310 N First St,SAN JOSE,,,,,,,Design-Bid-Build,N,,,,,
Aramis Solar Energy Facility - 100 MW,$ 138967000,Obayashi Corporation,ALAMEDA,2025-06-01,2026-12-01,Power Plant (Other),Intersect Power - CA,5102602192.0,New Project,1815 Manning Rd,LIVERMORE,6509524910.0,577 Airport Blvd Ste 600,Burlingame,,SAN MATEO,,Design-Bid-Build,N,http://www.obayashi.co.jp/english/,FOLLOW UP  | REACH OUT,,,
Carpenters Union Hall,$ 15000000 - $ 24999999,Nibbi Brothers General Contractors,SAN FRANCISCO,2025-03-01,2026-07-01,Office,Carpenters Local Union No 22,4153551322.0,New Project,3433 3rd St,SAN FRANCISCO,4158631820.0,1000 Brannan St Ste 102,San Francisco,John Kugler,SAN FRANCISCO,info@nibbi.com,Design-Bid-Build,N,http://www.nibbi.com,FOLLOW UP,,,
Petaluma Municipal Airport Taxilane B Rehabilitation,$ 881614,,SONOMA,2025-09-01,,Runway/Taxiway,City of Petaluma,7077784546.0,"Alterations, New Project",601 Sky Ranch Dr,PETALUMA,,,,,,,Design-Bid-Build,N,,,,,
Santa Clara Co Job Order Contract - JOC 75,$ 50000 - $ 6204503,,SANTA CLARA,2025-07-01,,Office,County of Santa Clara,4088854409.0,"Alterations, New Project",2310 N First St Various Locations,SAN JOSE,,,,,,,Design-Bid-Build,N,,,,,
Santa Clara Co Job Order Contract - JOC 77,$ 50000 - $ 6204503,,SANTA CLARA,2025-07-01,,Office,County of Santa Clara,4088854409.0,"Alterations, New Project",2310 N First St Various Locations,SAN JOSE,,,,,,,Design-Bid-Build,N,,,,,
